Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Term,City
Penthouse,2000000,4,3,287,Unknown,13,Cash or Installment,Finished,Fifth Square
Apartment,5000000,3,2,150,No,12,Cash,Finished,Rehab City
Apartment,2495000,3,2,171,No,4,Installment,Semi Finished,Madinaty
Apartment,1900000,2,2,148,No,7,Cash,Finished,Sheraton
Apartment,5800000,3,3,160,No,2,Cash or Installment,Semi Finished,EL Patio Casa
Apartment,730000,2,3,157,Unknown,4,Unknown,Finished,90 Avenue
Apartment,3700000,3,2,131,No,5,Cash,Finished,Rehab City
Apartment,3300000,3,3,173,No,3,Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,3425000,1,2,86,Yes,1,Cash,Finished,Hyde Park New Cairo
Apartment,2688000,2,2,88,No,1,Installment,Semi Finished,Sheikh Zayed
Duplex,5525000,4,4,326,No,2,Cash or Installment,Semi Finished,ABHA
Apartment,950000,3,2,165,No,3,Cash,Core & Shell,Hadayek al-Ahram
Penthouse,3800000,4,4,195,Unknown,5,Installment,Semi Finished,6th of October
Apartment,2255000,3,3,160,No,1,Cash,Finished,Rock Eden
Apartment,580000,2,1,78,No,5,Installment,Finished,Madinaty
Apartment,2100000,3,2,160,No,2,Cash,Finished,Miami
Apartment,2851000,3,3,179,Unknown,3,Unknown,Unknown ,Al Maqsad
Apartment,3750000,2,2,125,Unknown,2,Unknown,Unknown ,Village West
Apartment,3100000,4,2,167,No,5,Cash,Finished,Smoha
Apartment,1850000,3,1,181,No,9,Cash,Unknown ,Maadi
Apartment,1626000,3,2,133,No,2,Cash or Installment,Finished,AZAD
Apartment,6500000,4,4,149,Unknown,2,Cash or Installment,Finished,Karmell
Apartment,5800000,4,3,200,No,4,Cash,Finished,Madinaty
Penthouse,6000000,3,3,270,No,3,Cash,Finished,The Village
Duplex,210000,1,1,120,No,5,Cash or Installment,Finished,Nakheel
Apartment,380000,2,1,75,Yes,2,Cash,Finished,Nakheel
Penthouse,5100000,4,3,264,No,3,Installment,Semi Finished,October Plaza Sodic
Apartment,370000,2,2,110,Unknown,3,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,1900000,3,1,145,No,10,Cash,Finished,Smoha
Apartment,2850000,3,2,165,No,8,Cash,Finished,Smoha
Apartment,7766894,3,3,177,Unknown,2,Cash or Installment,Semi Finished,AZAD
Apartment,3750000,3,1,145,No,2,Cash,Finished,Madinaty
Apartment,950000,3,2,116,Unknown,4,Cash or Installment,Finished,Madinaty
Apartment,1870000,3,2,133,No,3,Cash or Installment,Finished,Al Maqsad
Apartment,1550000,3,2,165,No,5,Cash,Semi Finished,Zahraa Al Maadi
Apartment,3500000,3,2,155,No,2,Cash,Finished,Amorada
Apartment,2390000,3,3,196,No,3,Cash,Semi Finished,Rock Eden
Apartment,1520000,3,3,190,No,12,Cash or Installment,Semi Finished,6th of October
Penthouse,6000000,3,3,211,Unknown,4,Cash,Finished,Village Gate
Apartment,1910000,3,2,110,No,12,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,500000,1,1,74,Unknown,1,Unknown,Semi Finished,Mena Garden City
Apartment,7000000,3,2,156,Unknown,1,Installment,Core & Shell,O West
Apartment,3500000,2,2,110,No,12,Cash,Finished,Rehab City
Apartment,3726000,2,2,115,No,2,Cash or Installment,Core & Shell,VGK
Apartment,1720000,3,2,162,No,5,Cash,Semi Finished,Ashgar City
Apartment,4100000,3,3,202,Unknown,3,Unknown,Unknown ,Mountain View Hyde Park
Apartment,1600000,3,2,213,No,2,Cash or Installment,Semi Finished,Palm Hills New Cairo
Apartment,5200000,3,3,139,Unknown,5,Cash,Finished,Rehab City
Apartment,800000,4,2,225,No,5,Cash or Installment,Finished,Nakheel
Apartment,2500000,3,2,140,No,1,Cash,Finished,Roushdy
Duplex,8473000,4,3,229,Unknown,2,Unknown,Unknown ,Village West
Apartment,3500000,2,1,90,No,2,Cash or Installment,Finished,Kayan
Apartment,230000,3,2,130,No,2,Installment,Finished,New Cairo - El Tagamoa
Apartment,2970000,4,3,220,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Duplex,830000,4,3,250,No,5,Cash or Installment,Finished,Nakheel
Apartment,3050000,3,3,174,No,3,Cash or Installment,Semi Finished,Kenz
Apartment,1050000,3,2,165,No,2,Cash,Not Finished,Hadayek 6th of October
Apartment,800000,3,2,150,Unknown,1,Cash or Installment,Semi Finished,Sheraton
Apartment,500000,3,3,165,Unknown,3,Cash or Installment,Unknown ,Taj City
Apartment,280000,2,1,90,No,3,Cash or Installment,Finished,Nakheel
Apartment,340000,2,1,85,Unknown,3,Cash,Finished,Nakheel
Apartment,3878000,2,2,130,No,12,Cash or Installment,Semi Finished,Sarai
Duplex,2200000,4,5,274,No,2,Cash,Core & Shell,Al Burouj
Apartment,2200000,3,2,185,No,4,Cash,Finished,Maadi
Apartment,8305500,4,3,203,No,3,Cash or Installment,Unknown ,Village West
Apartment,1800000,4,2,300,No,1,Cash,Semi Finished,Dokki
Apartment,300000,2,2,127,No,2,Cash or Installment,Semi Finished,Al Maqsad
Penthouse,4500000,5,4,275,No,3,Cash,Semi Finished,Stone Residence
Apartment,1800000,3,1,140,No,3,Cash,Finished,Sheikh Zayed
Duplex,4138020,3,3,450,No,2,Cash,Semi Finished,6th of October
Apartment,1718000,3,3,150,Unknown,4,Cash or Installment,Unknown ,O West
Duplex,9105000,4,3,270,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,2000000,3,3,228,No,1,Cash,Core & Shell,New Cairo - El Tagamoa
Apartment,6000000,3,3,152,No,2,Cash or Installment,Semi Finished,Hyde Park New Cairo
Apartment,4200000,3,3,160,Unknown,12,Cash,Core & Shell,Mountain View iCity
Apartment,2300000,3,2,150,No,6,Cash,Finished,Smoha
Apartment,1530000,3,2,125,No,7,Installment,Finished,Victoria
Apartment,5250000,8,3,260,No,2,Cash or Installment,Semi Finished,Porto New Cairo
Apartment,1400000,3,2,180,No,1,Cash,Semi Finished,6th of October
Apartment,13750000,3,4,276,Unknown,4,Cash,Unknown ,San Stefano
Apartment,1350000,3,2,135,No,3,Cash or Installment,Unknown ,Hexa
Studio,1800000,1,1,40,Unknown,1,Unknown,Finished,6th of October
Apartment,900000,2,1,90,No,9,Cash,Finished,Miami
Apartment,517000,2,1,92,No,12,Installment,Finished,Madinaty
Apartment,2800000,4,3,290,No,1,Cash,Finished,Hadayek 6th of October
Apartment,1600000,2,1,130,No,2,Cash,Finished,6th of October
Apartment,5000000,3,2,164,No,2,Cash,Finished,Rehab City
Apartment,2150000,3,2,275,No,12,Cash or Installment,Core & Shell,Sheikh Zayed
Apartment,5014000,2,2,133,Unknown,3,Cash or Installment,Core & Shell,Galleria Moon Valley
Apartment,790000,3,1,140,No,13,Cash,Finished,Sidi Beshr
Apartment,2050000,2,1,100,No,3,Cash,Finished,Sheikh Zayed
Apartment,4000000,3,3,155,Unknown,2,Cash,Semi Finished,Mountain View iCity
Apartment,4948560,2,1,84,No,3,Installment,Finished,Madinaty
Apartment,600000,1,1,90,No,3,Cash,Semi Finished,Italian Square
Apartment,275000,2,1,120,No,12,Cash or Installment,Finished,Nakheel
Apartment,1400000,3,2,100,Yes,3,Cash,Finished,Badr City
Apartment,461000,3,3,171,No,6,Installment,Unknown ,Smoha
Apartment,950000,3,2,115,No,3,Cash,Finished,Badr City
Apartment,3590000,3,2,160,No,12,Cash or Installment,Semi Finished,New Capital City
Apartment,3600000,3,2,151,Unknown,2,Cash or Installment,Finished,New Capital City
Apartment,1750000,3,2,190,No,9,Installment,Semi Finished,Nasr City
Apartment,3700000,3,2,160,No,4,Cash,Finished,Laurent
Apartment,4250000,3,3,119,Unknown,4,Unknown,Unknown ,Rehab City
Apartment,2470000,3,3,205,No,5,Cash,Finished,Zahraa Al Maadi
Apartment,3500000,3,3,175,Unknown,2,Unknown,Semi Finished,6th of October
Apartment,2700000,3,2,200,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,900000,3,2,160,No,2,Installment,Semi Finished,Badr City
Apartment,4222768,3,3,172,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Penthouse,4000000,5,2,420,No,3,Cash,Semi Finished,Sheikh Zayed
Apartment,3500000,2,1,105,No,12,Cash,Finished,Rehab City
Apartment,9000000,3,3,315,No,8,Cash,Finished,Glim
Apartment,4200000,3,3,170,Unknown,2,Cash,Not Finished,Mountain View iCity
Apartment,3550000,3,3,238,No,2,Cash,Finished,El Khamayel
Apartment,1850000,3,2,200,No,3,Cash,Finished,6th of October
Apartment,1050000,2,1,110,No,11,Cash,Finished,Miami
Apartment,2500000,3,2,150,Unknown,11,Unknown,Unknown ,Laurent
Duplex,3200000,4,3,400,Unknown,12,Cash,Finished,Hadayek al-Ahram
Apartment,1800000,3,2,165,No,1,Cash,Finished,El Fardous
Apartment,1150000,3,1,120,No,12,Cash,Finished,6th of October
Apartment,1628000,3,3,139,No,3,Installment,Finished,Zed East
Apartment,6200000,3,3,230,No,8,Cash,Not Finished,Glim
Studio,4667000,1,2,77,No,1,Cash or Installment,Finished,Sheikh Zayed
Apartment,540000,2,1,120,Unknown,4,Cash,Finished,Nakheel
Apartment,2300000,3,3,165,No,3,Installment,Semi Finished,Mountain View iCity
Duplex,1800000,3,2,190,No,1,Cash,Finished,El Fardous
Apartment,5294946,2,2,125,No,12,Cash or Installment,Not Finished,Mountain View iCity
Duplex,11500000,3,3,256,Unknown,12,Unknown,Finished,Eastown
Apartment,2900000,2,2,103,No,2,Cash or Installment,Semi Finished,Sun Capital
Apartment,21210000,3,4,242,Unknown,1,Cash or Installment,Finished,Uptown Cairo
Apartment,230000,1,2,75,No,3,Cash or Installment,Core & Shell,New Cairo - El Tagamoa
Apartment,380000,2,1,120,Unknown,12,Cash or Installment,Finished,Nakheel
Apartment,8500000,3,3,190,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Apartment,4300000,3,3,183,Unknown,2,Cash,Unknown ,Rehab City
Apartment,9493000,3,3,156,No,2,Installment,Finished,Cairo Gate
Apartment,3250000,3,2,140,No,2,Cash or Installment,Finished,Madinaty
Apartment,3876000,3,3,204,Unknown,10,Cash or Installment,Finished,Saba Pasha
Apartment,480000,2,1,100,No,7,Cash or Installment,Finished,Nakheel
Apartment,2500000,3,3,165,No,2,Cash or Installment,Semi Finished,Mountain View iCity
Apartment,580000,2,2,121,No,3,Installment,Finished,New Cairo - El Tagamoa
Apartment,3737000,3,3,257,Unknown,1,Cash or Installment,Finished,Sheikh Zayed
Duplex,370000,3,2,220,No,5,Cash,Finished,Nakheel
Apartment,2756000,3,3,212,No,3,Cash,Not Finished,The Loft
Apartment,3500000,4,3,210,Yes,5,Cash,Finished,Mandara
Apartment,1600000,3,1,176,No,11,Cash,Unknown ,Montazah
Apartment,712000,3,2,116,No,2,Installment,Finished,Madinaty
Apartment,3580000,3,2,180,Unknown,2,Unknown,Unknown ,Mountain View iCity
Apartment,340000,2,1,110,Unknown,3,Cash,Finished,Nakheel
Apartment,900000,3,3,190,Unknown,1,Cash or Installment,Unknown ,Mountain View iCity
Apartment,280000,3,2,168,No,2,Installment,Unknown ,Bloomfields
Apartment,6905000,3,3,174,Unknown,2,Cash or Installment,Unknown ,Hyde Park New Cairo
Apartment,1700000,3,2,167,Unknown,1,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,6300000,3,3,188,Unknown,2,Unknown,Unknown ,Sky Condos Sodic
Apartment,1450000,2,2,103,No,2,Installment,Finished,Madinaty
Apartment,645000,3,2,169,Unknown,12,Unknown,Finished,6th of October
Apartment,8000000,5,3,475,Unknown,10,Unknown,Unknown ,Shatby
Duplex,3200000,3,3,200,No,12,Cash or Installment,Semi Finished,Hyde Park New Cairo
Apartment,990000,3,1,155,Unknown,12,Cash,Finished,Hadayek al-Ahram
Apartment,1400000,3,1,100,No,2,Cash,Finished,Smoha
Apartment,1750000,3,1,140,No,8,Cash,Finished,Montazah
Apartment,2155500,4,3,195,No,12,Cash or Installment,Semi Finished,6th of October
Apartment,1991000,3,3,181,Unknown,12,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,775000,3,2,145,No,2,Cash,Not Finished,Badr City
Apartment,1200000,3,2,170,No,3,Cash or Installment,Unknown ,Mountain View iCity
Duplex,5150000,3,3,335,No,4,Cash,Unknown ,Upville
Apartment,5330000,4,3,195,No,2,Cash or Installment,Finished,Badya Palm Hills
Apartment,1491000,3,2,140,Unknown,2,Cash or Installment,Unknown ,Mountain View iCity
Apartment,7700000,3,3,211,Unknown,2,Unknown,Unknown ,Park View
Apartment,5937000,3,4,228,No,12,Cash or Installment,Semi Finished,Palm Hills New Cairo
Apartment,7500000,3,3,274,Unknown,2,Unknown,Unknown ,Mountain View Hyde Park
Apartment,750000,3,2,145,No,2,Cash,Not Finished,Badr City
Apartment,1750000,3,3,190,Unknown,9,Cash,Unknown ,Nasr City
Apartment,470000,2,1,63,No,1,Cash,Finished,Shorouk City
Apartment,380000,3,2,156,Unknown,2,Unknown,Unknown ,Madinaty
Apartment,8413900,2,2,143,No,3,Cash or Installment,Unknown ,6th of October
Apartment,6224000,3,3,153,No,3,Cash or Installment,Finished,Sheikh Zayed
Apartment,4100000,2,2,105,No,2,Cash or Installment,Semi Finished,Mountain View iCity
Apartment,1500000,3,1,180,No,3,Cash,Finished,Shorouk City
Apartment,3100000,3,3,170,No,1,Cash,Core & Shell,Mountain View iCity
Apartment,1205000,3,2,160,Unknown,2,Cash or Installment,Unknown ,Mountain View iCity
Apartment,410000,2,2,140,No,4,Cash,Unknown ,Nakheel
Apartment,2350000,3,1,135,No,3,Cash,Finished,Maamoura
Apartment,880000,3,2,174,No,8,Installment,Finished,Haram
Apartment,3500003,3,3,156,Unknown,2,Unknown,Semi Finished,Mountain View iCity
Apartment,2200000,3,3,175,Unknown,2,Cash or Installment,Semi Finished,6th of October
Penthouse,1550000,2,1,105,No,4,Installment,Core & Shell,Sheikh Zayed
Apartment,5200000,3,3,140,No,2,Installment,Finished,Sheikh Zayed
Apartment,3700000,4,3,260,Unknown,1,Unknown,Not Finished,New Cairo - El Tagamoa
Apartment,3400000,3,3,119,No,3,Cash,Finished,Rehab City
Apartment,1850000,2,1,185,No,1,Cash,Finished,New Cairo - El Tagamoa
Apartment,3000000,3,2,110,No,2,Cash,Finished,Madinaty
Apartment,1600000,2,1,115,No,5,Cash,Finished,Smoha
Penthouse,3800000,3,2,190,Unknown,3,Unknown,Unknown ,6th of October
Apartment,8000000,2,2,148,No,3,Installment,Finished,EL Patio 7
Apartment,320000,2,1,90,No,4,Cash or Installment,Finished,Nakheel
Apartment,2100000,3,2,106,Unknown,12,Cash,Finished,Madinaty
Apartment,310000,2,1,103,No,2,Cash or Installment,Unknown ,6th of October
Apartment,11275000,3,3,186,No,2,Cash,Finished,Mivida
Apartment,1560000,2,1,82,No,4,Cash or Installment,Semi Finished,Ashgar City
Duplex,8950000,4,4,380,Yes,12,Cash,Finished,6th of October
Penthouse,2350000,3,3,180,No,11,Cash,Not Finished,One Kattameya
Apartment,900000,3,2,120,No,4,Cash,Finished,Hadayek Helwan
Apartment,9000000,3,3,208,No,2,Cash or Installment,Core & Shell,Capital Gardens
Apartment,4100000,3,3,258,No,1,Cash,Finished,Dreamland
Apartment,955000,3,2,131,No,3,Installment,Finished,Rehab City
Apartment,6150000,3,2,175,Unknown,2,Cash,Core & Shell,Park View
Apartment,1600000,3,1,145,Unknown,6,Cash,Finished,Miami
Apartment,4500000,2,2,170,No,3,Cash or Installment,Semi Finished,6th of October
Apartment,5000000,3,2,190,No,1,Cash,Finished,Zayed 2000
Apartment,4400000,3,2,130,No,2,Installment,Finished,Sheikh Zayed
Penthouse,10500000,3,3,245,No,3,Cash,Finished,EL Patio 7
Apartment,670000,3,2,150,No,9,Cash,Finished,Agami
Apartment,7000000,3,3,204,No,5,Cash,Finished,Roushdy
Apartment,2860000,3,3,220,No,5,Cash or Installment,Semi Finished,New Capital City
Apartment,4018000,3,3,164,No,6,Cash,Finished,Moharam Bik
Apartment,1700000,3,3,173,Unknown,3,Cash or Installment,Finished,Villette
Apartment,7500000,3,3,210,Unknown,12,Cash,Core & Shell,6th of October
Apartment,1600000,2,1,120,No,11,Cash,Finished,Montazah
Apartment,1750000,1,1,100,No,4,Cash,Finished,Zezenia
Apartment,2450000,3,2,170,No,5,Cash,Finished,Bolkly
Apartment,730000,3,2,116,No,5,Installment,Finished,Madinaty
Apartment,5125000,3,3,198,Unknown,5,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,6567500,3,3,185,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Apartment,530000,3,2,120,No,4,Cash,Finished,Nakheel
Apartment,2925000,4,3,225,No,1,Cash or Installment,Semi Finished,6th of October
Apartment,560000,2,1,120,No,3,Cash or Installment,Finished,Nakheel
Apartment,6400000,3,3,196,Unknown,3,Unknown,Unknown ,Swan Lake
Apartment,6000000,3,3,220,No,3,Cash or Installment,Semi Finished,Stone Residence
Apartment,6020000,3,3,140,No,3,Installment,Semi Finished,Mountain View 1
Penthouse,10500000,4,4,314,No,13,Cash,Semi Finished,Lake view Residence
Apartment,8500001,3,4,290,No,6,Cash,Finished,Roushdy
Apartment,2450000,3,1,160,No,5,Cash,Finished,Smoha
Duplex,1200000,3,2,260,No,12,Cash or Installment,Not Finished,Bloomfields
Apartment,3500000,2,2,117,No,3,Installment,Semi Finished,6th of October
Apartment,1900000,3,2,150,Unknown,2,Cash,Finished,New Cairo - El Tagamoa
Apartment,6987200,4,4,255,No,12,Installment,Semi Finished,Palm Hills New Cairo
Apartment,8050000,3,2,164,No,2,Installment,Semi Finished,EL Patio ORO
Apartment,1850000,3,2,225,Unknown,1,Cash,Finished,Hadayek al-Ahram
Apartment,6513000,3,3,167,No,4,Installment,Finished,Village West
Apartment,3600000,3,3,135,Unknown,2,Unknown,Unknown ,Sheikh Zayed
Apartment,680000,2,1,78,No,1,Installment,Finished,Madinaty
Apartment,5000000,3,2,190,No,1,Cash,Finished,Zayed 2000
Duplex,2400000,3,3,205,No,12,Cash,Semi Finished,New Cairo - El Tagamoa
Apartment,600000,3,1,120,No,13,Cash,Finished,Agami
Apartment,600000,3,3,165,Unknown,3,Cash or Installment,Finished,New Capital City
Apartment,1600000,3,1,105,Yes,1,Cash,Finished,6th of October
Apartment,1932000,3,2,210,No,2,Cash,Not Finished,Kanarya
Apartment,920000,3,1,135,No,2,Cash or Installment,Semi Finished,Tala
Apartment,580000,3,1,120,No,2,Cash or Installment,Finished,Nakheel
Apartment,1773000,3,3,197,No,5,Cash or Installment,Semi Finished,6th of October
Apartment,2850000,5,3,275,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,2000000,2,2,110,No,4,Cash or Installment,Not Finished,Madinaty
Apartment,2650000,2,1,82,Yes,4,Cash,Finished,Madinaty
Apartment,410000,2,1,130,Yes,2,Cash or Installment,Finished,Nakheel
Apartment,1270000,2,1,130,Unknown,3,Cash,Finished,6th of October
Apartment,4000000,3,3,119,No,1,Cash,Finished,Rehab City
Apartment,1900000,3,1,142,No,3,Cash,Finished,New Cairo - El Tagamoa
Apartment,4250000,3,3,203,No,4,Cash,Semi Finished,Smoha
Apartment,2200000,3,2,260,No,3,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,2250000,3,2,185,No,2,Cash,Finished,6th of October
Apartment,2200000,3,2,240,No,2,Cash or Installment,Core & Shell,6th of October
Apartment,3200000,2,3,165,No,2,Cash,Semi Finished,Capital Gardens
Apartment,400000,2,1,120,No,5,Cash,Finished,Victoria
Apartment,520000,3,3,154,Unknown,1,Cash or Installment,Finished,Sun Capital
Apartment,1550000,3,2,185,No,12,Cash,Finished,Hadayek al-Ahram
Penthouse,5752686,3,3,180,No,4,Cash,Finished,Trio Gardens
Apartment,1350000,3,2,150,Unknown,3,Cash,Finished,Miami
Apartment,514000,3,2,122,No,12,Installment,Finished,Capital Heights 2
Duplex,4856778,3,4,176,Unknown,12,Cash or Installment,Finished,Al Burouj
Apartment,2625320,2,2,157,No,5,Installment,Semi Finished,Kenz
Apartment,1357000,2,2,117,Unknown,1,Cash or Installment,Finished,Eastown
Apartment,4300000,3,2,124,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,4600000,2,2,115,Unknown,1,Installment,Finished,El Karma
Apartment,850000,2,1,100,No,11,Cash,Finished,Miami
Apartment,1980000,3,2,122,No,12,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,10000000,4,4,250,Yes,12,Cash,Finished,6th of October
Apartment,2400000,3,1,130,Yes,3,Cash,Finished,Maamoura
Apartment,750000,4,4,175,No,2,Cash or Installment,Finished,Village West
Apartment,2300000,3,1,130,No,3,Cash,Finished,Maamoura
Apartment,5500000,3,2,147,No,2,Cash,Finished,New Cairo - El Tagamoa
Apartment,11619130,2,2,126,No,3,Cash or Installment,Finished,Maadi
Apartment,880000,2,2,105,No,2,Cash or Installment,Not Finished,Mountain View iCity
Apartment,410000,3,1,120,No,7,Cash or Installment,Finished,Nakheel
Apartment,5100000,3,3,203,No,5,Cash,Finished,Madinaty
Duplex,3000000,3,3,280,No,12,Cash or Installment,Semi Finished,Mountain View iCity
Apartment,2500000,3,2,250,No,3,Cash,Finished,6th of October
Apartment,1040000,2,1,92,No,2,Installment,Unknown ,New Heliopolis
Apartment,2250000,2,2,130,No,3,Cash,Finished,Sheraton
Penthouse,4100000,4,4,222,No,5,Cash or Installment,Not Finished,Badya Palm Hills
Apartment,3587500,1,2,100,Unknown,12,Cash,Finished,Pyramids Hills
Apartment,2300000,4,3,225,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Penthouse,8330000,5,4,275,Unknown,3,Installment,Semi Finished,Stone Residence
Apartment,400000,3,2,146,No,1,Cash or Installment,Unknown ,Heliopolis
Apartment,540000,3,3,145,No,12,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,350000,3,3,185,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,2200000,3,2,116,No,4,Installment,Finished,Madinaty
Apartment,5200000,3,3,280,Unknown,6,Cash,Finished,Terrace Smouha
Apartment,5000000,3,3,250,No,11,Cash,Finished,Dokki
Apartment,2255000,3,3,160,No,2,Cash,Finished,Rock Eden
Apartment,8800000,3,3,210,Unknown,2,Unknown,Unknown ,Eastown
Apartment,2100000,2,1,78,No,1,Cash,Finished,Madinaty
Apartment,6000000,2,2,117,No,3,Cash or Installment,Finished,O West
Apartment,3200000,3,2,180,No,2,Cash,Finished,Laurent
Apartment,415000,2,2,125,Unknown,2,Installment,Not Finished,Hadayek al-Ahram
Apartment,647500,3,3,185,No,1,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,4500000,5,3,400,No,1,Cash,Finished,Obour City
Apartment,950000,3,2,161,Unknown,3,Cash,Semi Finished,Hadayek al-Ahram
Apartment,3000000,3,3,300,Unknown,5,Cash,Semi Finished,New Cairo - El Tagamoa
Apartment,1950000,3,3,186,Unknown,2,Unknown,Unknown ,New Capital City
Apartment,1200000,3,2,120,Unknown,12,Cash or Installment,Finished,Sheikh Zayed
Apartment,700000,2,1,120,Unknown,11,Unknown,Unknown ,Hadayek Helwan
Apartment,955000,3,2,131,No,1,Installment,Finished,Rehab City
Apartment,450000,3,2,120,Unknown,2,Cash or Installment,Finished,Sun Capital
Duplex,8500000,4,3,250,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,5050000,2,2,157,Unknown,2,Unknown,Unknown ,October Plaza Sodic
Apartment,839000,3,2,181,Unknown,3,Cash or Installment,Unknown ,Beit Al Watan
Apartment,3890000,3,3,259,Unknown,1,Cash or Installment,Semi Finished,Shorouk City
Apartment,3700000,2,2,88,Unknown,2,Installment,Semi Finished,Sheikh Zayed
Apartment,780000,2,1,63,No,5,Cash,Finished,Bedaya
Apartment,475000,2,1,120,Unknown,1,Cash,Finished,Nakheel
Apartment,1200000,3,2,150,No,3,Installment,Semi Finished,6th of October
Apartment,2500000,4,2,220,No,4,Cash,Finished,Asafra
Apartment,3153000,3,3,161,Unknown,2,Cash or Installment,Finished,Al Maqsad
Duplex,6900000,4,3,320,No,2,Cash or Installment,Unknown ,Sheikh Zayed
Apartment,1350000,3,2,130,No,3,Cash,Semi Finished,6th of October
Apartment,250000,3,3,162,No,1,Installment,Semi Finished,New Heliopolis
Apartment,1150000,3,2,165,No,2,Cash,Not Finished,El Fardous
Apartment,2700000,3,3,225,Unknown,1,Unknown,Semi Finished,Sheikh Zayed
Apartment,3570000,3,2,108,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,4975386,3,3,187,No,2,Installment,Core & Shell,Vinci
Apartment,1415000,3,2,184,No,4,Cash,Semi Finished,Shorouk City
Apartment,1950000,3,2,165,Unknown,1,Cash,Finished,6th of October
Apartment,23500000,4,4,308,No,5,Cash or Installment,Finished,Aeon
Apartment,700000,2,3,141,No,2,Cash or Installment,Finished,Taj City
Apartment,4900000,2,2,143,No,2,Cash,Semi Finished,Lake view Residence
Apartment,1550000,2,1,105,No,3,Installment,Core & Shell,Sheikh Zayed
Penthouse,10500000,4,4,175,No,12,Cash or Installment,Unknown ,Smoha
Apartment,10250000,4,4,320,No,3,Cash,Finished,Zezenia
Apartment,1750000,4,3,210,Unknown,12,Cash or Installment,Semi Finished,6th of October
Apartment,2280000,4,3,190,No,2,Cash or Installment,Semi Finished,Dreamland
Apartment,3720000,3,2,155,No,8,Cash or Installment,Semi Finished,Borg al-Arab
Apartment,630000,3,3,185,Unknown,2,Cash or Installment,Finished,Hadayek 6th of October
Apartment,9000000,4,5,270,No,12,Cash,Semi Finished,Capital Gardens
Apartment,460000,3,2,145,Unknown,3,Cash or Installment,Unknown ,Sheikh Zayed
Apartment,465000,4,2,250,No,12,Cash or Installment,Finished,Nakheel
Apartment,3150000,3,2,146,Unknown,2,Cash or Installment,Unknown ,6th of October
Apartment,10576978,3,3,261,No,9,Cash or Installment,Finished,Nasr City
Apartment,3225000,3,3,160,No,3,Cash or Installment,Semi Finished,Mostakbal City
Duplex,9600000,3,3,275,No,1,Installment,Unknown ,Smoha
Apartment,2600000,3,2,210,No,8,Cash,Finished,Saba Pasha
Apartment,225000,2,1,120,Yes,5,Installment,Finished,Nakheel
Apartment,2550000,3,2,148,No,2,Cash or Installment,Semi Finished,Kenz
Penthouse,1600000,3,2,120,Yes,2,Cash or Installment,Unknown ,Sheikh Zayed
Apartment,250000,2,1,81,No,12,Cash,Finished,Badr City
Apartment,3500000,3,2,220,Unknown,1,Cash,Semi Finished,New Cairo - El Tagamoa
Apartment,900000,3,2,160,No,1,Cash,Core & Shell,West Somid
Apartment,2300000,3,4,164,Unknown,1,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,1940000,3,2,162,No,2,Installment,Finished,Rehab City
Apartment,2200000,3,2,134,Unknown,1,Unknown,Finished,Al Maqsad
Duplex,10678000,3,3,281,Unknown,5,Unknown,Unknown ,Smoha
Apartment,2700000,3,2,180,No,2,Cash,Finished,Sheikh Zayed
Duplex,2100000,5,3,279,Unknown,12,Cash or Installment,Unknown ,Mountain View Chillout Park
Apartment,4020962,2,2,131,No,6,Cash or Installment,Core & Shell,IL Bosco
Apartment,1400000,2,2,135,No,12,Cash or Installment,Semi Finished,6th of October
Apartment,5200000,3,3,155,No,1,Cash,Finished,Rehab City
Apartment,1150000,2,2,85,No,12,Cash,Finished,Sheikh Zayed
Apartment,4300000,2,2,165,No,10,Cash,Finished,Gianaclis
Apartment,2400000,3,2,160,No,5,Cash,Finished,Bolkly
Apartment,1800000,3,2,165,No,12,Cash or Installment,Not Finished,6th of October
Apartment,380000,3,3,140,No,3,Cash or Installment,Core & Shell,Sun Capital
