Type,Price,Price Category,Bedrooms,Bathrooms,Area,Area Category,Furnished,Level,Payment_Option,Delivery_Term,City
Duplex,3300000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,330,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,Hadayek al-Ahram
Apartment,8500000,Greater Than Q3 ( 4100000 ) ,3,3,188,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Finished,Eastown
Apartment,664482,Less Than or Equal to Q1 ( 1200000 ) ,3,2,149,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Installment,Finished,Village West
Apartment,1900000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,8,Cash,Finished,Miami
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,1,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,6,Cash,Finished,Miami
Apartment,1050000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Finished,6th of October
Apartment,2119740,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,4,3,196,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash or Installment,Semi Finished,6th of October
Apartment,7400000,Greater Than Q3 ( 4100000 ) ,2,2,108,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Finished,Sheikh Zayed
Apartment,4000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,170,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash,Semi Finished,Mountain View iCity
Duplex,6200000,Greater Than Q3 ( 4100000 ) ,3,3,200,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash or Installment,Not Finished,6th of October
Apartment,1300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,115,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Finished,New Cairo - El Tagamoa
Apartment,370000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,120,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash,Finished,Nakheel
Apartment,3400000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,181,Between Q2(  160  )  and Q3 (  200  ) ,No,10,Cash,Finished,Smoha
Apartment,6800000,Greater Than Q3 ( 4100000 ) ,2,3,163,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Finished,Village West
Apartment,770000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash,Semi Finished,Badr City
Apartment,2100000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,147,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,7,Cash,Finished,Sheraton
Penthouse,9400000,Greater Than Q3 ( 4100000 ) ,5,4,243,Greater Than Q3 (  200  ) ,No,5,Installment,Finished,Sheikh Zayed
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,1,88,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Semi Finished,Sheikh Zayed
Apartment,9158000,Greater Than Q3 ( 4100000 ) ,2,2,147,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Finished,The Estates
Apartment,780000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Not Finished,Hadayek al-Ahram
Apartment,430000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,100,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash,Finished,Nakheel
Apartment,6112400,Greater Than Q3 ( 4100000 ) ,3,3,168,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash or Installment,Core & Shell,Badya Palm Hills
Duplex,11042000,Greater Than Q3 ( 4100000 ) ,4,3,284,Greater Than Q3 (  200  ) ,No,12,Installment,Semi Finished,Mountain View Chillout Park
Apartment,3300000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,217,Greater Than Q3 (  200  ) ,No,3,Cash,Core & Shell,6th of October
Apartment,5215000,Greater Than Q3 ( 4100000 ) ,2,2,115,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Semi Finished,Mountain View iCity
Apartment,3600000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,114,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash,Finished,Madinaty
Apartment,5950000,Greater Than Q3 ( 4100000 ) ,4,3,175,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Semi Finished,Sheikh Zayed
Apartment,2800000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,Yes,12,Cash,Finished,El Ashgar District
Apartment,7000000,Greater Than Q3 ( 4100000 ) ,3,3,188,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Semi Finished,Sky Condos Sodic
Apartment,775000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,107,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Finished,Rod al-Farag
Apartment,250000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Installment,Semi Finished,New Heliopolis
Apartment,1200000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,125,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Finished,Montazah
Apartment,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,1,145,Between Q1 ( 127  )  and Q2 ( 160 ) ,Yes,11,Cash,Finished,Montazah
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,196,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash or Installment,Core & Shell,Badya Palm Hills
Apartment,5800000,Greater Than Q3 ( 4100000 ) ,3,3,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Installment,Semi Finished,O West
Apartment,2400000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,5,Cash,Finished,Sheikh Zayed
Apartment,1600000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,190,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash,Finished,Hadayek al-Ahram
Duplex,145500,Less Than or Equal to Q1 ( 1200000 ) ,4,4,285,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Core & Shell,Sheikh Zayed
Apartment,5050000,Greater Than Q3 ( 4100000 ) ,3,2,157,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,980000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,110,Less Than or Equal to Q1 ( 127  ) ,No,7,Cash,Finished,Miami
Apartment,1850000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,175,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Finished,Maadi
Apartment,2650000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,156,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash,Finished,Sheikh Zayed
Apartment,2800000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,165,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Semi Finished,Sarai
Duplex,480000,Less Than or Equal to Q1 ( 1200000 ) ,4,2,250,Greater Than Q3 (  200  ) ,No,5,Cash,Finished,Nakheel
Apartment,3079200,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,3,224,Greater Than Q3 (  200  ) ,No,1,Cash or Installment,Semi Finished,Beit Al Watan
Apartment,400000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash or Installment,Finished,Badya Palm Hills
Apartment,300000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,90,Less Than or Equal to Q1 ( 127  ) ,No,10,Cash,Finished,Agami
Apartment,1540000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,175,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Installment,Semi Finished,6th of October
Duplex,6600000,Greater Than Q3 ( 4100000 ) ,3,3,245,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,Beverly Hills
Apartment,1299600,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,2,131,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash or Installment,Finished,Palm Parks
Apartment,2700000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,172,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Installment,Semi Finished,Mostakbal City
Apartment,1550000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,4,2,145,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,5,Cash,Finished,Kafr Abdo
Apartment,1300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,180,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Finished,Agami
Apartment,3735000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,3,142,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash or Installment,Not Finished,Palm Hills New Cairo
Duplex,5500000,Greater Than Q3 ( 4100000 ) ,3,3,245,Greater Than Q3 (  200  ) ,No,4,Cash,Finished,Nasr City
Apartment,2200000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,5,3,285,Greater Than Q3 (  200  ) ,No,2,Cash,Finished,Hadayek al-Ahram
Duplex,11000000,Greater Than Q3 ( 4100000 ) ,6,5,900,Greater Than Q3 (  200  ) ,Yes,11,Cash,Finished,Stanley
Apartment,4665000,Greater Than Q3 ( 4100000 ) ,2,2,125,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Core & Shell,Mountain View iCity
Apartment,1552000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,2,115,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash or Installment,Semi Finished,New Capital City
Apartment,1225000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,80,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash or Installment,Semi Finished,6th of October
Apartment,2900000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,2,90,Less Than or Equal to Q1 ( 127  ) ,No,12,Cash or Installment,Semi Finished,El Khamayel
Apartment,3954000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,139,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash or Installment,Finished,Atika
Apartment,1773000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,197,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash or Installment,Core & Shell,Sheikh Zayed
Apartment,2550000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,175,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,3274800,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,174,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Semi Finished,Kenz
Apartment,2626000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,156,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Semi Finished,Kenz
Penthouse,2000000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,6,3,360,Greater Than Q3 (  200  ) ,No,5,Cash,Finished,6th of October
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,175,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Finished,Stone Residence
Duplex,8000000,Greater Than Q3 ( 4100000 ) ,5,5,405,Greater Than Q3 (  200  ) ,No,3,Cash,Finished,Jayd
Apartment,3250000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,217,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,10380000,Greater Than Q3 ( 4100000 ) ,3,3,182,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Semi Finished,AZAD
Apartment,5900000,Greater Than Q3 ( 4100000 ) ,3,3,190,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Semi Finished,Hadayek 6th of October
Apartment,2300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,138,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Semi Finished,Sun Capital
Apartment,2350000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,180,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash,Core & Shell,Sheikh Zayed
Apartment,880000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,107,Less Than or Equal to Q1 ( 127  ) ,No,3,Installment,Finished,Madinaty
Studio,345000,Less Than or Equal to Q1 ( 1200000 ) ,1,1,67,Less Than or Equal to Q1 ( 127  ) ,No,12,Installment,Finished,Madinaty
Apartment,3900000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,200,Between Q2(  160  )  and Q3 (  200  ) ,No,9,Cash,Finished,Stanley
Apartment,570000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,165,Between Q2(  160  )  and Q3 (  200  ) ,No,8,Cash,Not Finished,Haram
Apartment,4300000,Greater Than Q3 ( 4100000 ) ,2,2,108,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Semi Finished,Sheikh Zayed
Duplex,11520000,Greater Than Q3 ( 4100000 ) ,3,3,284,Greater Than Q3 (  200  ) ,No,12,Cash or Installment,Core & Shell,Mountain View Chillout Park
Duplex,3300000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,5,4,320,Greater Than Q3 (  200  ) ,No,12,Cash or Installment,Semi Finished,El Khamayel
Apartment,840000,Less Than or Equal to Q1 ( 1200000 ) ,3,1,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,7,Cash,Finished,Haram
Apartment,2489000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,200,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,7800000,Greater Than Q3 ( 4100000 ) ,3,3,196,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Installment,Finished,Swan Lake
Apartment,7500000,Greater Than Q3 ( 4100000 ) ,4,3,226,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Not Finished,6th of October
Apartment,2242500,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,195,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Installment,Semi Finished,6th of October
Apartment,4500000,Greater Than Q3 ( 4100000 ) ,3,2,215,Greater Than Q3 (  200  ) ,No,4,Cash,Finished,Laurent
Apartment,2250000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,110,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash,Finished,Smoha
Apartment,1980000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,4,3,210,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,1500000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,187,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Installment,Not Finished,Andalus
Apartment,1900000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,180,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Finished,6th of October
Apartment,2300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,143,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,1,Cash,Finished,Sheikh Zayed
Apartment,1450000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,96,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash,Finished,Smoha
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,1,105,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Semi Finished,Mountain View iCity
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,5,Cash or Installment,Semi Finished,New Capital City
Apartment,4150000,Greater Than Q3 ( 4100000 ) ,2,2,125,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Core & Shell,Mountain View iCity
Apartment,1450000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Finished,Al Ibrahimiyyah
Apartment,4725000,Greater Than Q3 ( 4100000 ) ,2,3,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Semi Finished,Katameya Plaza
Apartment,8139000,Greater Than Q3 ( 4100000 ) ,3,2,166,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Not Finished,AZAD
Apartment,4499000,Greater Than Q3 ( 4100000 ) ,2,2,100,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Not Finished,O West
Apartment,560000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,75,Less Than or Equal to Q1 ( 127  ) ,No,11,Cash,Finished,Mandara
Apartment,200000,Less Than or Equal to Q1 ( 1200000 ) ,3,3,169,Between Q2(  160  )  and Q3 (  200  ) ,No,6,Cash or Installment,Finished,Al Maqsad
Apartment,5700000,Greater Than Q3 ( 4100000 ) ,3,2,169,Between Q2(  160  )  and Q3 (  200  ) ,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,1320000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash,Semi Finished,6th of October
Apartment,4387745,Greater Than Q3 ( 4100000 ) ,3,3,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,6,Cash or Installment,Not Finished,Sun Capital
Apartment,3690000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,4,221,Greater Than Q3 (  200  ) ,No,1,Installment,Core & Shell,New Cairo - El Tagamoa
Studio,2900000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,1,2,77,Less Than or Equal to Q1 ( 127  ) ,No,2,Installment,Semi Finished,6th of October
Apartment,880000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash,Finished,Faisal
Studio,675000,Less Than or Equal to Q1 ( 1200000 ) ,1,1,27,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Semi Finished,Sheikh Zayed
Apartment,950000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Core & Shell,Hadayek al-Ahram
Apartment,2200000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,145,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,11,Cash,Finished,Saba Pasha
Apartment,4954700,Greater Than Q3 ( 4100000 ) ,2,2,115,Less Than or Equal to Q1 ( 127  ) ,No,1,Installment,Semi Finished,Mountain View iCity
Apartment,875000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,145,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Not Finished,Badr City
Duplex,3200000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,4,4,330,Greater Than Q3 (  200  ) ,No,12,Cash,Finished,New Cairo - El Tagamoa
Apartment,3700000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,200,Between Q2(  160  )  and Q3 (  200  ) ,No,9,Cash,Finished,Stanley
Apartment,1225000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,78,Less Than or Equal to Q1 ( 127  ) ,No,1,Cash or Installment,Semi Finished,6th of October
Apartment,850000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,177,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash or Installment,Finished,Shorouk City
Apartment,2250000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,145,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash,Finished,Sidi Gaber
Apartment,3650000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,165,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash,Finished,6th of October
Apartment,1890000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,1882000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,180,Between Q2(  160  )  and Q3 (  200  ) ,No,5,Cash or Installment,Semi Finished,6th of October
Apartment,6030000,Greater Than Q3 ( 4100000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash or Installment,Finished,Trio Gardens
Apartment,3500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,6,Cash,Finished,Glim
Studio,1292000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,1,1,57,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Semi Finished,6th of October
Apartment,3450000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,183,Between Q2(  160  )  and Q3 (  200  ) ,No,1,Cash or Installment,Semi Finished,Palm Hills New Cairo
Apartment,1300000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,100,Less Than or Equal to Q1 ( 127  ) ,No,11,Cash,Finished,Montazah
Apartment,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,223,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Core & Shell,El Shorouk Springs
Apartment,581750,Less Than or Equal to Q1 ( 1200000 ) ,3,3,179,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Cash or Installment,Semi Finished,New Cairo - El Tagamoa
Apartment,505000,Less Than or Equal to Q1 ( 1200000 ) ,3,2,225,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Semi Finished,Isola
Apartment,1155000,Less Than or Equal to Q1 ( 1200000 ) ,2,2,140,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Installment,Finished,Badya Palm Hills
Duplex,6000000,Greater Than Q3 ( 4100000 ) ,3,2,165,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Semi Finished,Al Burouj
Apartment,1800000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,4,2,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash,Finished,Stanley
Apartment,2500000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,175,Between Q2(  160  )  and Q3 (  200  ) ,No,4,Cash,Finished,Dokki
Apartment,,Less Than or Equal to Q1 ( 1200000 ) ,3,3,160,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,2,Cash or Installment,Core & Shell,Mountain View iCity
Apartment,3650000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,3,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash,Not Finished,Mountain View iCity
Duplex,4600000,Greater Than Q3 ( 4100000 ) ,3,3,230,Greater Than Q3 (  200  ) ,No,12,Installment,Semi Finished,Mountain View iCity
Apartment,3250000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,103,Less Than or Equal to Q1 ( 127  ) ,No,12,Cash,Finished,Madinaty
Apartment,3700000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Finished,Hadayek al-Ahram
Apartment,4403000,Greater Than Q3 ( 4100000 ) ,2,2,131,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Core & Shell,Badya Palm Hills
Apartment,2400000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,155,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Finished,6th of October
Apartment,2200000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,2,235,Greater Than Q3 (  200  ) ,No,2,Cash or Installment,Core & Shell,6th of October
Apartment,11000000,Greater Than Q3 ( 4100000 ) ,3,2,210,Greater Than Q3 (  200  ) ,Yes,10,Cash,Finished,Zamalek
Apartment,500000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,110,Less Than or Equal to Q1 ( 127  ) ,No,4,Cash or Installment,Not Finished,Mountain View iCity
Apartment,4400000,Greater Than Q3 ( 4100000 ) ,3,3,180,Between Q2(  160  )  and Q3 (  200  ) ,No,12,Installment,Semi Finished,Bloomfields
Apartment,2600000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,3,166,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash,Semi Finished,Capital Gardens
Apartment,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,2,1,120,Less Than or Equal to Q1 ( 127  ) ,Yes,2,Cash,Finished,Maamoura
Apartment,2050000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,100,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Finished,Sheikh Zayed
Studio,3000000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,1,1,77,Less Than or Equal to Q1 ( 127  ) ,No,2,Cash or Installment,Semi Finished,O West
Apartment,4379700,Greater Than Q3 ( 4100000 ) ,2,2,130,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash or Installment,Semi Finished,Badya Palm Hills
Apartment,5758000,Greater Than Q3 ( 4100000 ) ,3,3,200,Between Q2(  160  )  and Q3 (  200  ) ,No,5,Installment,Semi Finished,Hadayek 6th of October
Penthouse,6300000,Greater Than Q3 ( 4100000 ) ,4,3,260,Greater Than Q3 (  200  ) ,No,2,Cash,Semi Finished,Mountain View - Giza Plateau
Apartment,1300568,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,1,99.5,Less Than or Equal to Q1 ( 127  ) ,No,1,Installment,Semi Finished,Maadi V
Apartment,3300000,Between Q2( 2495000 )  and Q3 ( 4100000 ) ,3,2,163,Between Q2(  160  )  and Q3 (  200  ) ,No,3,Cash or Installment,Finished,Al Maqsad
Apartment,1600000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,2,2,132,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,4,Cash,Semi Finished,New Cairo - El Tagamoa
Studio,2371000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,1,1,80,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash or Installment,Not Finished,Sheikh Zayed
Apartment,4500000,Greater Than Q3 ( 4100000 ) ,1,2,70,Less Than or Equal to Q1 ( 127  ) ,No,6,Cash or Installment,Finished,Sheikh Zayed
Apartment,1400000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,1,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Cash,Finished,Agami
Apartment,5500000,Greater Than Q3 ( 4100000 ) ,3,3,230,Greater Than Q3 (  200  ) ,Yes,4,Cash,Finished,New Cairo - El Tagamoa
Apartment,630000,Less Than or Equal to Q1 ( 1200000 ) ,2,1,85,Less Than or Equal to Q1 ( 127  ) ,No,3,Cash,Core & Shell,Degla Palms
Apartment,4995000,Greater Than Q3 ( 4100000 ) ,3,2,135,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,3,Installment,Semi Finished,Sheikh Zayed
Apartment,1500000,Between Q1 ( 1200000 )  and Q2 (2495000 ) ,3,3,150,Between Q1 ( 127  )  and Q2 ( 160 ) ,No,12,Cash,Finished,New Cairo - El Tagamoa
Apartment,4890000,Greater Than Q3 ( 4100000 ) ,4,3,235,Greater Than Q3 (  200  ) ,No,3,Cash or Installment,Finished,New Capital City
